action_id,source_agent,entity,issue,recommended_action,priority,expected_impact,confidence
ACT-00013,EDD Breach Alert Agent,AWB2750312338,"EDD already passed, still in transit",Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00014,EDD Breach Alert Agent,AWB8884540979,"EDD already passed, still in transit",Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00015,EDD Breach Alert Agent,AWB0642556100,"EDD already passed, still in transit",Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00016,EDD Breach Alert Agent,AWB8245486139,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00017,EDD Breach Alert Agent,AWB3609494420,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00018,Lane Intelligence Agent,West Delhi (National),Lane health 73.6 — Intervention Required,Investigate hub + carrier allocation; prioritize NDR outreach for COD,P1 - Urgent,31 shipments/period at risk,DERIVED (statistical lane scorecard)
ACT-00019,EDD Breach Alert Agent,AWB7050743860,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00020,EDD Breach Alert Agent,AWB6659092877,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00021,EDD Breach Alert Agent,AWB9380978674,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00022,EDD Breach Alert Agent,AWB0453000790,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00023,EDD Breach Alert Agent,AWB4010765891,"EDD already passed, still in transit",Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00024,EDD Breach Alert Agent,AWB9110201552,"EDD already passed, still in transit",Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00025,EDD Breach Alert Agent,AWB7935966647,"EDD already passed, still in transit",Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00026,EDD Breach Alert Agent,AWB8707769816,"EDD already passed, still in transit",Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00027,EDD Breach Alert Agent,AWB4715303007,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00028,EDD Breach Alert Agent,AWB8407027823,"EDD already passed, still in transit",Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00029,EDD Breach Alert Agent,AWB8096733662,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00030,EDD Breach Alert Agent,AWB3745669029,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00031,EDD Breach Alert Agent,AWB5509213274,"EDD already passed, still in transit",Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00032,EDD Breach Alert Agent,AWB6413576142,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00033,EDD Breach Alert Agent,AWB5311939180,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00034,EDD Breach Alert Agent,AWB3373458943,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00035,EDD Breach Alert Agent,AWB4149653480,"EDD already passed, still in transit",Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00036,EDD Breach Alert Agent,AWB4542489435,"EDD already passed, still in transit",Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00037,EDD Breach Alert Agent,AWB9614846756,"EDD already passed, still in transit",Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00038,EDD Breach Alert Agent,AWB7061030440,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00039,EDD Breach Alert Agent,AWB7580581563,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00040,EDD Breach Alert Agent,AWB6865065799,"EDD already passed, still in transit",Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00041,EDD Breach Alert Agent,AWB8297032169,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00042,EDD Breach Alert Agent,AWB5956236445,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00043,EDD Breach Alert Agent,AWB0937425335,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00044,EDD Breach Alert Agent,AWB4891200702,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00045,EDD Breach Alert Agent,AWB1618803466,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00046,EDD Breach Alert Agent,AWB2843583327,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00047,EDD Breach Alert Agent,AWB6591670545,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00048,EDD Breach Alert Agent,AWB7111316078,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00049,EDD Breach Alert Agent,AWB1861497372,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00050,EDD Breach Alert Agent,AWB0515568904,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00051,EDD Breach Alert Agent,AWB5823018524,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00052,EDD Breach Alert Agent,AWB8570293832,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00053,EDD Breach Alert Agent,AWB6868151020,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00054,EDD Breach Alert Agent,AWB2087849839,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00055,EDD Breach Alert Agent,AWB2516080331,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00056,EDD Breach Alert Agent,AWB1351180474,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00057,EDD Breach Alert Agent,AWB5158057494,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00058,EDD Breach Alert Agent,AWB3924001288,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00059,EDD Breach Alert Agent,AWB9032474474,"EDD already passed, still in transit",Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00060,EDD Breach Alert Agent,AWB6884107613,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00061,EDD Breach Alert Agent,AWB3590856101,"EDD already passed, still in transit",Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00062,EDD Breach Alert Agent,AWB9330356187,"EDD already passed, still in transit",Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00063,EDD Breach Alert Agent,AWB4275005241,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00064,EDD Breach Alert Agent,AWB4822977678,"EDD already passed, still in transit",Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00065,EDD Breach Alert Agent,AWB3120369581,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00066,EDD Breach Alert Agent,AWB2502185300,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00067,EDD Breach Alert Agent,AWB3942140167,"EDD already passed, still in transit",Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00068,EDD Breach Alert Agent,AWB8947942914,"EDD already passed, still in transit",Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00069,EDD Breach Alert Agent,AWB1878965369,"EDD already passed, still in transit",Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00070,EDD Breach Alert Agent,AWB1448252483,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00071,EDD Breach Alert Agent,AWB3721046183,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00072,EDD Breach Alert Agent,AWB8589206358,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00073,EDD Breach Alert Agent,AWB4977372926,"EDD already passed, still in transit",Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00074,EDD Breach Alert Agent,AWB2547755311,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00075,EDD Breach Alert Agent,AWB7140626207,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00076,EDD Breach Alert Agent,AWB4009048302,"EDD already passed, still in transit",Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00077,EDD Breach Alert Agent,AWB5524209810,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00078,EDD Breach Alert Agent,AWB9064660561,"EDD already passed, still in transit",Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00079,EDD Breach Alert Agent,AWB0100127512,"EDD already passed, still in transit",Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00080,EDD Breach Alert Agent,AWB5452064454,"EDD already passed, still in transit",Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00081,EDD Breach Alert Agent,AWB9023672846,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00082,EDD Breach Alert Agent,AWB3457524407,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00083,EDD Breach Alert Agent,AWB5659560139,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00084,EDD Breach Alert Agent,AWB0015575490,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00085,EDD Breach Alert Agent,AWB5233607038,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00086,EDD Breach Alert Agent,AWB4881315008,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00087,EDD Breach Alert Agent,AWB5659369892,"EDD already passed, still in transit",Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00088,EDD Breach Alert Agent,AWB3824143579,"EDD already passed, still in transit",Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00089,EDD Breach Alert Agent,AWB3844135441,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00090,EDD Breach Alert Agent,AWB1705795524,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00091,EDD Breach Alert Agent,AWB3866518975,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00092,EDD Breach Alert Agent,AWB4417426131,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00093,EDD Breach Alert Agent,AWB6249891275,"EDD already passed, still in transit",Proactive customer outreach + prioritize reattempt slot within 24h; flag to carrier ops (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00094,EDD Breach Alert Agent,AWB7131187438,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00095,EDD Breach Alert Agent,AWB9475085132,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00096,EDD Breach Alert Agent,AWB3844837304,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00097,EDD Breach Alert Agent,AWB8234442621,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00098,EDD Breach Alert Agent,AWB7072745916,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00099,EDD Breach Alert Agent,AWB2310088930,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00100,EDD Breach Alert Agent,AWB1122050050,"EDD already passed, still in transit",Send proactive delivery-reminder notification; monitor next scan (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
ACT-00101,EDD Breach Alert Agent,AWB6935981870,"EDD already passed, still in transit",Route to NDR Recovery Agent — customer contact for reattempt (push notification + care-team update queued),P1 - Urgent,Proactive customer contact before EDD miss becomes a complaint/RTO,AI_PREDICTED (risk score) + MOCK (message content)
